problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
SSBRYBND,OPTIMAL,0.32538795471191406,8.678851943097618e-14,18,15,14,88
SSCOSINE,OPTIMAL,1.5038650035858154,-4953.7134843704225,185,180,172,1958
TOINTGSS,OPTIMAL,0.1669449806213379,9.999999999860112,2,2,1,1
TQUARTIC,OPTIMAL,0.20172405242919922,2.990160902596081e-17,12,11,10,58
TRIDIA,OPTIMAL,0.18069195747375488,3.6747109496709487e-25,3,3,2,11
VARDIM,OPTIMAL,0.06029987335205078,2.533290225573063e-24,30,30,29,29
VAREIGVL,OPTIMAL,53.99849796295166,1.176343670022097e-9,16,16,15,35
WOODS,OPTIMAL,0.340986967086792,2.355511098873573e-16,77,54,53,352
YATP1CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP1LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP2CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
