problem_name,status,status_code,total_execution_time,total_iterations_count,function_value,gradient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
DENSCHNF,OPTIMAL,0,0.00E+00,7,0.00,0.00,8,8,7,13
DEVGLA1,OPTIMAL,0,0.00E+00,29,0.00,0.00,30,21,20,123
DEVGLA2,OPTIMAL,0,0.00E+00,34,0.00,0.00,35,23,22,159
DJTL,OPTIMAL,0,1.00E+00,126,-8951.54,0.00,127,85,84,520
EG2,OPTIMAL,0,6.00E+00,11,-998.95,0.00,12,11,10,42
EGGCRATE,OPTIMAL,0,0.00E+00,5,9.49,0.00,6,5,4,13
ELATVIDU,OPTIMAL,0,0,11,54.75,0.00,12,12,11,21
ENGVAL2,OPTIMAL,0,0.00E+00,17,0.00,0.00,18,16,15,61
ENSOLS,OPTIMAL,0,0.00E+00,11,788.54,0.00,12,11,10,38
ERRINROS,OPTIMAL,0,0.00E+00,65,39.90,0.00,66,41,40,235
EXPFIT,OPTIMAL,0,0.00E+00,8,0.24,0.00,9,8,7,28
EXTROSNB,OPTIMAL,0,8.26E+02,2262,0.00,0.00,2263,2176,2175,5143
FBRAIN3LS,OPTIMAL,0,1.40E+01,1905,0.24,0.00,1906,1301,1300,15308
GAUSS2LS,OPTIMAL,0,0.00E+00,5,1247.53,0.00,6,6,5,11
GAUSS3LS,OPTIMAL,0,0.00E+00,10,1244.48,0.00,11,9,8,64
GAUSSIAN,OPTIMAL,0,0.00E+00,2,0.00,0.00,3,3,2,6
GBRAINLS,OPTIMAL,0,0.00E+00,6,28.52,0.00,7,7,6,13
GENROSE,OPTIMAL,0,5.40E+01,505,1.00,0.00,506,335,334,2628
GROWTHLS,OPTIMAL,0,0,171,1.00,0.00,172,105,104,612
HATFLDD,OPTIMAL,0,0.00E+00,20,0.00,0.00,21,19,18,64
HATFLDFL,OPTIMAL,0,0.00E+00,2,0.00,0.00,3,3,2,11
HATFLDFLS,OPTIMAL,0,0.00E+00,36,0.00,0.00,37,27,26,142
HATFLDGLS,OPTIMAL,0,0.00E+00,15,0.00,0.00,16,12,11,53
HEART6LS,OPTIMAL,0,1.00E+00,1180,0.00,0.00,1181,962,961,6692
HEART8LS,OPTIMAL,0,0,77,0.00,0.00,78,58,57,421
HELIX,OPTIMAL,0,0.00E+00,10,0.00,0.00,11,10,9,40
